,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,10-Sep,8:41PM ET,boxscore,W,OT,Jan-00,,Tennessee Titans,13,10,19,357,321,36,3,18,320,234,86,2,-5.41,3.56,7.06
2,Sun,20-Sep,4:15PM ET,boxscore,L,,1-Jan,@,Chicago Bears,14,17,21,308,203,105,2,17,275,231,44,,10.09,-4.15,-11.12
3,Sun,27-Sep,4:15PM ET,boxscore,L,,2-Jan,@,Cincinnati Bengals,20,23,17,373,271,102,1,19,273,173,100,,2.17,-6.3,1.79
4,Sun,4-Oct,8:30PM ET,boxscore,W,,2-Feb,,San Diego Chargers,38,28,32,497,320,177,1,17,251,235,16,1,31.25,-4.75,-1.44
5,Sun,11-Oct,1:02PM ET,boxscore,W,,2-Mar,@,Detroit Lions,28,20,18,344,262,82,1,21,335,225,110,1,8.34,-0.08,0.93
6,Sun,18-Oct,1:01PM ET,boxscore,W,,2-Apr,,Cleveland Browns,27,14,28,543,403,140,4,12,197,106,91,4,11.57,14.66,-12.76
7,Sun,25-Oct,1:03PM ET,boxscore,W,,2-May,,Minnesota Vikings,27,17,14,259,152,107,1,21,386,297,89,2,-3.39,15.62,-5.04
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Mon,9-Nov,8:41PM ET,boxscore,W,,2-Jun,@,Denver Broncos,28,10,21,375,202,173,2,12,242,215,27,3,1.9,19.67,-2.26
10,Sun,15-Nov,1:02PM ET,boxscore,L,,3-Jun,,Cincinnati Bengals,12,18,16,226,146,80,1,14,218,157,61,,-14.01,7.78,-0.95
11,Sun,22-Nov,1:00PM ET,boxscore,L,OT,4-Jun,@,Kansas City Chiefs,24,27,27,516,402,114,3,13,282,214,68,1,-0.36,2.5,-1.5
12,Sun,29-Nov,8:30PM ET,boxscore,L,OT,5-Jun,@,Baltimore Ravens,17,20,16,298,145,153,1,21,393,261,132,2,-6.03,-1.42,7.5
13,Sun,6-Dec,1:02PM ET,boxscore,L,,6-Jun,,Oakland Raiders,24,27,19,401,269,132,1,19,396,287,109,,8.02,-10.4,0.82
14,Thu,10-Dec,8:21PM ET,boxscore,L,,7-Jun,@,Cleveland Browns,6,13,16,218,141,77,,12,255,84,171,,-10.32,4.37,0.81
15,Sun,20-Dec,4:15PM ET,boxscore,W,,7-Jul,,Green Bay Packers,37,36,28,537,472,65,,18,436,376,60,,22.32,-22.37,-0.5
16,Sun,27-Dec,1:02PM ET,boxscore,W,,7-Aug,,Baltimore Ravens,23,20,17,286,238,48,2,20,323,148,175,3,-4.23,6.53,-0.19
17,Sun,3-Jan,1:02PM ET,boxscore,W,,7-Sep,@,Miami Dolphins,30,24,22,403,201,202,2,20,303,204,99,3,12.04,-1.55,-1.17
