,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,10-Sep,1:00PM ET,boxscore,W,,Jan-00,@,Tennessee Titans,26,16,22,359,250,109,,21,350,255,95,,12.55,-9.12,7.62
2,Sun,17-Sep,4:05PM ET,boxscore,W,,Feb-00,,New York Jets,45,20,21,410,230,180,,17,271,145,126,2,27.55,-6.23,2.56
3,Sun,24-Sep,8:30PM ET,boxscore,L,,1-Feb,@,Washington Redskins,10,27,7,128,96,32,3,18,472,356,116,2,-20.15,-9.43,13.27
4,Sun,1-Oct,4:25PM ET,boxscore,L,,2-Feb,@,Denver Broncos,10,16,11,254,230,24,1,16,298,155,143,,-12.83,3.11,6.17
5,Sun,8-Oct,4:05PM ET,boxscore,L,,3-Feb,,Baltimore Ravens,17,30,15,245,137,108,1,19,365,222,143,,-7.57,-11.25,3.62
6,Sun,15-Oct,4:25PM ET,boxscore,L,,4-Feb,,Los Angeles Chargers,16,17,15,274,165,109,2,20,343,263,80,1,-4.48,-3.52,7.48
7,Thu,19-Oct,8:25PM ET,boxscore,W,,4-Mar,,Kansas City Chiefs,31,30,32,505,417,88,,19,425,331,94,,27.92,-18.99,-8.52
8,Sun,29-Oct,1:00PM ET,boxscore,L,,5-Mar,@,Buffalo Bills,14,34,23,367,313,54,4,17,331,165,166,,-4.3,-4.35,-7.44
9,Sun,5-Nov,8:30PM ET,boxscore,W,,5-Apr,@,Miami Dolphins,27,24,20,379,295,84,2,23,395,309,86,1,11.14,-8.1,-0.3
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,19-Nov,4:25PM ET,boxscore,L,,6-Apr,,New England Patriots,8,33,21,344,235,109,2,25,421,332,89,,1.26,-23.44,-2.48
12,Sun,26-Nov,4:25PM ET,boxscore,W,,6-May,,Denver Broncos,21,14,21,348,244,104,1,12,216,160,56,1,5.41,7.4,-4.87
13,Sun,3-Dec,4:25PM ET,boxscore,W,,6-Jun,,New York Giants,24,17,18,401,282,119,1,15,265,200,65,2,4.22,5.6,0.84
14,Sun,10-Dec,1:00PM ET,boxscore,L,,7-Jun,@,Kansas City Chiefs,15,26,15,268,198,70,3,23,408,243,165,1,-2.49,-7.9,0.27
15,Sun,17-Dec,8:30PM ET,boxscore,L,,8-Jun,,Dallas Cowboys,17,20,19,293,171,122,1,21,330,204,126,2,5.2,-6.11,-2.88
16,Mon,25-Dec,8:30PM ET,boxscore,L,,9-Jun,@,Philadelphia Eagles,10,19,13,274,137,137,5,12,216,138,78,2,-28.59,20.77,-1.32
17,Sun,31-Dec,4:25PM ET,boxscore,L,,10-Jun,@,Los Angeles Chargers,10,30,14,336,231,105,2,26,495,380,115,,-3.91,-23.24,9.97
