,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,10-Sep,10:25PM ET,boxscore,L,,0-1,,San Diego Chargers,14,22,21,321,276,45,1,15,258,226,32,,-1.45,-0.43,-6.78
2,Sun,16-Sep,1:02PM ET,boxscore,L,,0-2,@,Miami Dolphins,13,35,18,396,373,23,1,24,452,189,263,,-2.02,-20.54,-2.33
3,Sun,23-Sep,4:25PM ET,boxscore,W,,2-Jan,,Pittsburgh Steelers,34,31,21,321,202,119,1,24,433,379,54,2,13.09,-14.9,4.81
4,Sun,30-Sep,4:05PM ET,boxscore,L,,3-Jan,@,Denver Broncos,6,37,12,237,181,56,,26,503,338,165,1,-10.14,-22.58,3.1
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,14-Oct,1:01PM ET,boxscore,L,,4-Jan,@,Atlanta Falcons,20,23,22,474,325,149,3,16,286,241,45,3,-9.03,8.04,-1.32
7,Sun,21-Oct,4:25PM ET,boxscore,W,OT,4-Feb,,Jacksonville Jaguars,26,23,20,351,282,69,3,10,209,155,54,1,0.13,19.44,-18.57
8,Sun,28-Oct,4:06PM ET,boxscore,W,,4-Mar,@,Kansas City Chiefs,26,16,15,344,209,135,1,17,299,197,102,4,-0.73,12.51,2.54
9,Sun,4-Nov,4:05PM ET,boxscore,L,,5-Mar,,Tampa Bay Buccaneers,32,42,25,424,402,22,3,23,515,237,278,1,3.88,-20.32,10.56
10,Sun,11-Nov,1:02PM ET,boxscore,L,,6-Mar,@,Baltimore Ravens,20,55,19,422,350,72,3,22,419,341,78,1,-4.23,-21.09,-11.78
11,Sun,18-Nov,4:05PM ET,boxscore,L,,7-Mar,,New Orleans Saints,17,38,24,404,284,120,2,19,380,229,151,,-3.48,-18.98,-1.97
12,Sun,25-Nov,1:02PM ET,boxscore,L,,8-Mar,@,Cincinnati Bengals,10,34,14,218,119,99,2,18,415,194,221,,-20.77,-14.93,10.64
13,Sun,2-Dec,4:25PM ET,boxscore,L,,9-Mar,,Cleveland Browns,17,20,25,429,344,85,1,23,475,353,122,2,13.66,-16.06,-4.04
14,Thu,6-Dec,8:30PM ET,boxscore,L,,10-Mar,,Denver Broncos,13,26,14,324,263,61,2,30,428,288,140,1,-1.28,-13.75,-1.52
15,Sun,16-Dec,4:25PM ET,boxscore,W,,10-Apr,,Kansas City Chiefs,15,0,21,385,182,203,1,7,119,109,10,1,-1.64,24.24,-5.8
16,Sun,23-Dec,1:04PM ET,boxscore,L,,11-Apr,@,Carolina Panthers,6,17,12,189,142,47,1,16,271,159,112,2,-16.88,-0.41,4.57
17,Sun,30-Dec,4:21PM ET,boxscore,L,,12-Apr,@,San Diego Chargers,21,24,17,265,150,115,1,14,210,140,70,,0.71,0.8,-2.13
