,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:02PM ET,boxscore,W,,Jan-00,@,Cincinnati Bengals,12,7,10,302,227,75,,16,307,221,86,2,-3.17,7.37,0.58
2,Sun,20-Sep,4:15PM ET,boxscore,W,,Feb-00,,Cleveland Browns,27,6,25,449,263,186,1,11,200,146,54,3,16.67,16.24,-13.03
3,Sun,27-Sep,4:15PM ET,boxscore,W,,Mar-00,@,Oakland Raiders,23,3,21,372,157,215,1,9,137,42,95,3,5.29,21.44,-3.07
4,Sun,4-Oct,4:15PM ET,boxscore,W,,Apr-00,,Dallas Cowboys,17,10,18,337,221,116,1,20,315,241,74,2,-0.81,10.43,-3.51
5,Sun,11-Oct,4:16PM ET,boxscore,W,OT,May-00,,New England Patriots,20,17,27,424,321,103,2,18,305,209,96,1,8.2,0.87,-4.84
6,Mon,19-Oct,8:40PM ET,boxscore,W,,Jun-00,@,San Diego Chargers,34,23,19,328,227,101,,20,311,238,73,1,10.64,0.47,-1.35
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,1-Nov,1:02PM ET,boxscore,L,,1-Jun,@,Baltimore Ravens,7,30,17,200,134,66,1,16,292,167,125,,-7.18,-4.44,-7.48
9,Mon,9-Nov,8:41PM ET,boxscore,L,,2-Jun,,Pittsburgh Steelers,10,28,12,242,215,27,3,21,375,202,173,2,-19.67,-1.9,2.26
10,Sun,15-Nov,1:02PM ET,boxscore,L,,3-Jun,@,Washington Redskins,17,27,14,305,185,120,2,22,388,214,174,,-2.97,-11.2,1.76
11,Sun,22-Nov,4:15PM ET,boxscore,L,,4-Jun,,San Diego Chargers,3,32,14,271,156,115,3,21,348,145,203,,-18.75,-13.09,14.6
12,Thu,26-Nov,8:21PM ET,boxscore,W,,4-Jul,,New York Giants,26,6,23,373,235,138,1,15,267,210,57,3,5.25,12.61,-3.55
13,Sun,6-Dec,1:00PM ET,boxscore,W,,4-Aug,@,Kansas City Chiefs,44,13,24,413,168,245,3,14,222,128,94,3,1.87,32.44,-2.62
14,Sun,13-Dec,1:02PM ET,boxscore,L,,5-Aug,@,Indianapolis Colts,16,28,20,357,262,95,1,21,312,220,92,3,-9.88,-0.56,-2.53
15,Sun,20-Dec,4:05PM ET,boxscore,L,,6-Aug,,Oakland Raiders,19,20,19,337,257,80,,22,343,102,241,2,0.34,-0.51,0.09
16,Sun,27-Dec,4:16PM ET,boxscore,L,,7-Aug,@,Philadelphia Eagles,27,30,13,241,171,70,1,22,394,289,105,3,-5.81,-6.91,10.83
17,Sun,3-Jan,4:15PM ET,boxscore,L,,8-Aug,,Kansas City Chiefs,24,44,30,512,428,84,3,22,524,207,317,2,-0.89,-16.1,-1.35
