,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:02PM ET,boxscore,L,,0-1,@,Baltimore Ravens,24,38,11,188,159,29,,32,501,303,198,1,-6.06,-17.91,12.49
2,Sun,20-Sep,1:00PM ET,boxscore,L,,0-2,,Oakland Raiders,10,13,25,409,236,173,2,11,166,99,67,,1.13,10.45,-11.51
3,Sun,27-Sep,1:02PM ET,boxscore,L,,0-3,@,Philadelphia Eagles,14,34,11,196,97,99,1,21,420,327,93,1,-12.3,-12.49,3.4
4,Sun,4-Oct,1:00PM ET,boxscore,L,,0-4,,New York Giants,16,27,15,212,88,124,1,21,429,273,156,2,-6.47,-6.92,4.12
5,Sun,11-Oct,1:00PM ET,boxscore,L,OT,0-5,,Dallas Cowboys,20,26,20,304,232,72,,20,498,348,150,2,-1.9,-11.74,6.07
6,Sun,18-Oct,1:03PM ET,boxscore,W,,5-Jan,@,Washington Redskins,14,6,16,268,158,110,,7,265,147,118,2,-11.81,16.92,6.92
7,Sun,25-Oct,1:00PM ET,boxscore,L,,6-Jan,,San Diego Chargers,7,37,10,203,82,121,3,17,403,268,135,,-26.64,-5.81,5.86
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,8-Nov,1:03PM ET,boxscore,L,,7-Jan,@,Jacksonville Jaguars,21,24,14,301,241,60,,21,426,253,173,1,1.64,-12.56,3.97
10,Sun,15-Nov,4:05PM ET,boxscore,W,,7-Feb,@,Oakland Raiders,16,10,14,318,206,112,3,11,272,90,182,2,-8.88,19.78,-7.19
11,Sun,22-Nov,1:00PM ET,boxscore,W,OT,7-Mar,,Pittsburgh Steelers,27,24,13,282,214,68,1,27,516,402,114,3,-2.5,0.36,1.5
12,Sun,29-Nov,4:05PM ET,boxscore,L,,8-Mar,@,San Diego Chargers,14,43,16,284,170,114,4,26,426,332,94,1,-16.27,-15.4,-0.02
13,Sun,6-Dec,1:00PM ET,boxscore,L,,9-Mar,,Denver Broncos,13,44,14,222,128,94,3,24,413,168,245,3,-32.44,-1.87,2.62
14,Sun,13-Dec,1:00PM ET,boxscore,L,,10-Mar,,Buffalo Bills,10,16,16,354,202,152,4,13,273,73,200,3,-16.5,13.43,-6.39
15,Sun,20-Dec,1:00PM ET,boxscore,L,,11-Mar,,Cleveland Browns,34,41,22,491,323,168,1,20,417,66,351,3,12.29,-6.81,-8.62
16,Sun,27-Dec,1:03PM ET,boxscore,L,,12-Mar,@,Cincinnati Bengals,10,17,17,295,172,123,2,17,274,130,144,1,-9.27,2.76,-1.94
17,Sun,3-Jan,4:15PM ET,boxscore,W,,12-Apr,@,Denver Broncos,44,24,22,524,207,317,2,30,512,428,84,3,16.1,0.89,1.35
