,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,11-Sep,1:06PM ET,boxscore,L,,0-1,,Buffalo Bills,7,41,13,213,105,108,3,23,364,201,163,1,-14.87,-12.91,-5.51
2,Sun,18-Sep,1:02PM ET,boxscore,L,,0-2,@,Detroit Lions,3,48,12,267,116,151,6,23,411,322,89,1,-23.04,-17.01,-5.37
3,Sun,25-Sep,4:05PM ET,boxscore,L,,0-3,@,San Diego Chargers,17,20,13,252,171,81,1,22,375,258,117,2,-1.5,-1.94,-0.03
4,Sun,2-Oct,1:02PM ET,boxscore,W,,3-Jan,,Minnesota Vikings,22,17,15,350,247,103,,17,341,190,151,1,4.53,-2.77,4.95
5,Sun,9-Oct,1:02PM ET,boxscore,W,,3-Feb,@,Indianapolis Colts,28,24,26,436,242,194,,15,355,277,78,,17.83,-8.34,-2.55
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,23-Oct,7:05PM ET,boxscore,W,,3-Mar,@,Oakland Raiders,28,0,22,300,161,139,2,18,322,167,155,6,2.22,31.62,-2.36
8,Mon,31-Oct,8:40PM ET,boxscore,W,OT,3-Apr,,San Diego Chargers,23,20,19,341,247,94,4,22,447,345,102,4,-7.12,7.08,0.19
9,Sun,6-Nov,1:03PM ET,boxscore,L,,4-Apr,,Miami Dolphins,3,31,20,343,227,116,,17,351,244,107,,-12.57,-13.72,0.33
10,Sun,13-Nov,1:03PM ET,boxscore,L,,5-Apr,,Denver Broncos,10,17,17,258,124,134,,16,313,69,244,,-6.66,-2.73,-0.01
11,Mon,21-Nov,8:40PM ET,boxscore,L,,6-Apr,@,New England Patriots,3,34,16,334,209,125,3,20,380,223,157,1,-13.31,-10.81,-4.42
12,Sun,27-Nov,8:31PM ET,boxscore,L,,7-Apr,,Pittsburgh Steelers,9,13,15,252,162,90,4,18,290,182,108,2,-14.57,8.35,3.24
13,Sun,4-Dec,1:03PM ET,boxscore,W,,7-May,@,Chicago Bears,10,3,13,252,139,113,1,11,181,88,93,3,-11.36,26.99,-7.43
14,Sun,11-Dec,1:02PM ET,boxscore,L,,8-May,@,New York Jets,10,37,13,221,156,65,1,24,314,155,159,1,-15.74,-12.22,-0.65
15,Sun,18-Dec,1:03PM ET,boxscore,W,,8-Jun,,Green Bay Packers,19,14,23,438,299,139,,16,315,213,102,,9.3,-1.27,-1.9
16,Sat,24-Dec,1:03PM ET,boxscore,L,OT,9-Jun,,Oakland Raiders,13,16,26,435,300,135,2,13,308,237,71,2,-1.99,6.51,-9.99
17,Sun,1-Jan,4:16PM ET,boxscore,W,,9-Jul,@,Denver Broncos,7,3,14,281,175,106,1,16,266,50,216,2,-2.99,13.12,-5.4
