,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,11-Sep,8:33PM ET,boxscore,L,,0-1,@,New York Jets,24,27,21,390,326,64,3,19,360,315,45,2,0.11,2.95,-5.63
2,Sun,18-Sep,4:05PM ET,boxscore,W,OT,1-Jan,@,San Francisco 49ers,27,24,20,472,427,45,2,14,206,132,74,1,12.54,2.83,-14.1
3,Mon,26-Sep,8:41PM ET,boxscore,W,,1-Feb,,Washington Redskins,18,16,17,375,250,125,2,20,298,233,65,2,-3.71,6.28,1.67
4,Sun,2-Oct,1:02PM ET,boxscore,L,,2-Feb,,Detroit Lions,30,34,25,434,321,113,3,18,303,240,63,1,-6.95,3.65,-2.15
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,16-Oct,4:15PM ET,boxscore,L,,3-Feb,@,New England Patriots,16,20,21,377,300,77,2,25,371,270,101,4,-1.21,-2.89,1.61
7,Sun,23-Oct,4:15PM ET,boxscore,W,,3-Mar,,St. Louis Rams,34,7,24,445,151,294,1,13,265,195,70,2,17.68,10.32,-1.36
8,Sun,30-Oct,8:28PM ET,boxscore,L,,4-Mar,@,Philadelphia Eagles,7,34,12,267,182,85,1,31,495,256,239,,-1.31,-27.96,4.03
9,Sun,6-Nov,1:02PM ET,boxscore,W,,4-Apr,,Seattle Seahawks,23,13,18,442,279,163,1,18,381,219,162,3,10.22,-1.03,0.81
10,Sun,13-Nov,1:02PM ET,boxscore,W,,4-May,,Buffalo Bills,44,7,24,433,270,163,,20,271,136,135,4,24.58,12.73,-1.15
11,Sun,20-Nov,1:03PM ET,boxscore,W,OT,4-Jun,@,Washington Redskins,27,24,20,353,264,89,,18,339,279,60,2,7.73,-1.3,-4.45
12,Thu,24-Nov,4:16PM ET,boxscore,W,,4-Jul,,Miami Dolphins,20,19,19,303,218,85,2,18,352,263,89,1,-1.95,0.27,2.68
13,Sun,4-Dec,4:15PM ET,boxscore,L,OT,5-Jul,@,Arizona Cardinals,13,19,20,336,261,75,,16,327,224,103,,1.98,-2.06,-7.14
14,Sun,11-Dec,8:30PM ET,boxscore,L,,6-Jul,,New York Giants,34,37,23,444,305,139,1,28,510,400,110,1,17.77,-20.02,-0.89
15,Sat,17-Dec,8:29PM ET,boxscore,W,,6-Aug,@,Tampa Bay Buccaneers,31,15,28,399,239,160,1,7,190,132,58,1,15.8,10.22,-6.4
16,Sat,24-Dec,4:15PM ET,boxscore,L,,7-Aug,,Philadelphia Eagles,7,20,16,238,157,81,,20,386,281,105,1,-9.54,-3.04,0.99
17,Sun,1-Jan,8:31PM ET,boxscore,L,,8-Aug,@,New York Giants,14,31,19,300,251,49,2,20,437,331,106,,-4.82,-15.03,0.92
