,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,7-Sep,8:23PM ET,boxscore,L,,0-1,,Chicago Bears,13,29,23,293,240,53,1,17,319,136,183,,-3.92,-9.23,-1.53
2,Sun,14-Sep,1:05PM ET,boxscore,W,,1-Jan,@,Minnesota Vikings,18,15,17,321,296,25,2,16,299,120,179,1,-1.18,8.73,-3.61
3,Sun,21-Sep,4:15PM ET,boxscore,L,,2-Jan,,Jacksonville Jaguars,21,23,19,325,211,114,2,25,403,167,236,1,5.71,-9.78,4.63
4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Sun,5-Oct,1:02PM ET,boxscore,W,,2-Feb,@,Houston Texans,31,27,18,314,235,79,1,23,391,235,156,3,8.22,-3.45,-3.76
6,Sun,12-Oct,1:02PM ET,boxscore,W,,2-Mar,,Baltimore Ravens,31,3,17,334,258,76,,16,260,209,51,5,8.19,17.61,-2.75
7,Sun,19-Oct,4:15PM ET,boxscore,L,,3-Mar,@,Green Bay Packers,14,34,21,302,229,73,2,24,302,186,116,,-8,-15.12,3.96
8,Mon,27-Oct,8:39PM ET,boxscore,L,,4-Mar,@,Tennessee Titans,21,31,19,317,223,94,2,23,281,193,88,,0.61,-10.28,-1.99
9,Sun,2-Nov,8:23PM ET,boxscore,W,,4-Apr,,New England Patriots,18,15,18,301,254,47,,22,342,202,140,2,14.15,-5.43,0.5
10,Sun,9-Nov,4:15PM ET,boxscore,W,,4-May,@,Pittsburgh Steelers,24,20,17,290,228,62,,18,322,267,55,3,7.2,0.95,-3.93
11,Sun,16-Nov,1:02PM ET,boxscore,W,,4-Jun,,Houston Texans,33,27,30,474,320,154,,16,356,179,177,1,23.46,-16.3,-2.7
12,Sun,23-Nov,8:20PM ET,boxscore,W,,4-Jul,@,San Diego Chargers,23,20,19,341,250,91,1,21,394,274,120,1,12.32,-11.6,0.59
13,Sun,30-Nov,1:02PM ET,boxscore,W,,4-Aug,@,Cleveland Browns,10,6,14,215,125,90,3,13,193,92,101,2,-9.43,13.73,-0.08
14,Sun,7-Dec,1:02PM ET,boxscore,W,,4-Sep,,Cincinnati Bengals,35,3,20,334,277,57,1,17,252,170,82,4,13.88,21.1,-2.31
15,Sun,14-Dec,1:02PM ET,boxscore,W,,4-Oct,,Detroit Lions,31,21,28,421,315,106,2,18,323,233,90,2,25.19,-2.25,-13.62
16,Thu,18-Dec,8:15PM ET,boxscore,W,,4-Nov,@,Jacksonville Jaguars,31,24,20,396,364,32,,28,409,304,105,1,21.67,-14.9,-1.68
17,Sun,28-Dec,1:02PM ET,boxscore,W,,4-Dec,,Tennessee Titans,23,0,21,390,269,121,,8,125,42,83,,13.6,7.96,0.95
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,3-Jan,8:08PM ET,boxscore,L,OT,5-Dec,@,San Diego Chargers,17,23,17,366,302,64,,26,357,190,167,2,3.62,-2.79,-7.97
