,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:03PM ET,boxscore,W,,Jan-00,@,Houston Texans,24,7,22,462,272,190,1,11,183,145,38,2,8.22,13.86,-2.42
2,Sun,20-Sep,1:02PM ET,boxscore,W,,Feb-00,,New England Patriots,16,9,14,254,137,117,1,18,299,216,83,1,-6,7.75,7.05
3,Sun,27-Sep,1:03PM ET,boxscore,W,,Mar-00,,Tennessee Titans,24,17,13,229,146,83,2,17,286,159,127,4,-16.76,14.19,12.14
4,Sun,4-Oct,4:05PM ET,boxscore,L,,1-Mar,@,New Orleans Saints,10,24,14,244,112,132,4,18,343,190,153,1,-25.69,7.19,-0.07
5,Mon,12-Oct,8:38PM ET,boxscore,L,,2-Mar,@,Miami Dolphins,27,31,20,309,171,138,,23,413,262,151,,16.03,-20.66,-0.38
6,Sun,18-Oct,4:15PM ET,boxscore,L,OT,3-Mar,,Buffalo Bills,13,16,15,414,96,318,6,20,296,154,142,2,-12.16,8.5,0.79
7,Sun,25-Oct,4:05PM ET,boxscore,W,,3-Apr,@,Oakland Raiders,38,0,26,447,131,316,,13,263,144,119,4,24.46,20.37,-9.1
8,Sun,1-Nov,1:02PM ET,boxscore,L,,4-Apr,,Miami Dolphins,25,30,23,378,251,127,1,10,104,52,52,1,-7.09,15.69,-10.38
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,15-Nov,1:02PM ET,boxscore,L,,5-Apr,,Jacksonville Jaguars,22,24,19,322,212,110,3,18,347,208,139,1,-3.64,-9.59,11.16
11,Sun,22-Nov,4:15PM ET,boxscore,L,,6-Apr,@,New England Patriots,14,31,12,226,122,104,5,27,410,299,111,1,-20.17,-7.52,13.8
12,Sun,29-Nov,1:02PM ET,boxscore,W,,6-May,,Carolina Panthers,17,6,16,283,144,139,3,11,179,104,75,4,-10.33,23.77,-4.13
13,Thu,3-Dec,8:20PM ET,boxscore,W,,6-Jun,@,Buffalo Bills,19,13,17,331,82,249,,10,194,71,123,2,-2.27,13.92,-2.56
14,Sun,13-Dec,1:00PM ET,boxscore,W,,6-Jul,@,Tampa Bay Buccaneers,26,3,14,310,135,175,1,6,124,81,43,3,-6.55,36.99,-7.58
15,Sun,20-Dec,1:03PM ET,boxscore,L,,7-Jul,,Atlanta Falcons,7,10,17,314,215,99,3,12,238,152,86,,-11.66,7.15,-0.52
16,Sun,27-Dec,4:16PM ET,boxscore,W,,7-Aug,@,Indianapolis Colts,29,15,17,293,91,202,,18,286,222,64,2,-0.47,8.09,7.11
17,Sun,3-Jan,8:31PM ET,boxscore,W,,7-Sep,,Cincinnati Bengals,37,0,21,320,63,257,,5,72,,72,3,10.82,33.61,-6.11
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,9-Jan,4:36PM ET,boxscore,W,,7-Oct,@,Cincinnati Bengals,24,14,15,353,182,171,,18,281,110,171,2,6.9,6.27,-1.54
Division,Sun,17-Jan,4:40PM ET,boxscore,W,,7-Nov,@,San Diego Chargers,17,14,14,262,93,169,1,18,344,283,61,2,-5.03,3.86,9.26
Conf. Champ.,Sun,24-Jan,3:05PM ET,boxscore,L,,8-Nov,@,Indianapolis Colts,17,30,17,388,302,86,1,27,461,360,101,1,5.09,-15.88,-1.12
