,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,September 8,9:20PM ET,boxscore,W,,1-0,,San Diego Chargers,18,17,22,403,294,109,2,15,290,238,52,1,5.41,4.82,-6.20
2,Sun,September 14,1:04PM ET,boxscore,W,,2-0,@,New York Giants,25,14,21,266,142,124,,24,341,260,81,4,-1.03,-1.62,13.61
3,Sun,September 21,4:05PM ET,boxscore,W,,3-0,,San Francisco 49ers,23,14,24,338,254,84,1,20,318,236,82,,14.03,-10.85,4.65
4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Sun,October 5,4:05PM ET,boxscore,L,,3-1,@,Denver Broncos,20,41,9,215,178,37,,24,568,476,92,2,-12.17,-12.16,4.04
6,Sun,October 12,4:25PM ET,boxscore,W,,4-1,,Washington Redskins,30,20,19,317,243,74,,21,407,335,72,4,2.04,3.67,0.70
7,Sun,October 19,4:25PM ET,boxscore,W,,5-1,@,Oakland Raiders,24,13,25,365,242,123,1,13,220,164,56,,9.25,1.24,0.10
8,Sun,October 26,4:05PM ET,boxscore,W,,6-1,,Philadelphia Eagles,24,20,17,400,329,71,1,27,521,411,110,3,5.78,-1.32,-0.98
9,Sun,November 2,1:04PM ET,boxscore,W,,7-1,@,Dallas Cowboys,28,17,22,339,237,102,1,18,266,174,92,2,5.07,6.97,-0.07
10,Sun,November 9,4:25PM ET,boxscore,W,,8-1,,St. Louis Rams,31,14,21,335,307,28,1,16,244,174,70,3,-2.90,21.15,-0.02
11,Sun,November 16,4:25PM ET,boxscore,W,,9-1,,Detroit Lions,14,6,18,352,306,46,2,11,262,164,98,1,0.49,8.52,-1.98
12,Sun,November 23,4:06PM ET,boxscore,L,,9-2,@,Seattle Seahawks,3,19,12,204,140,64,1,16,293,169,124,,-9.22,-1.42,-10.24
13,Sun,November 30,4:05PM ET,boxscore,L,,9-3,@,Atlanta Falcons,18,29,18,329,294,35,3,22,500,358,142,1,-6.22,-4.38,-2.49
14,Sun,December 7,4:05PM ET,boxscore,W,,10-3,,Kansas City Chiefs,17,14,18,366,225,141,,19,390,264,126,2,6.54,2.17,-2.87
15,Thu,December 11,8:25PM ET,boxscore,W,,11-3,@,St. Louis Rams,12,6,13,274,131,143,,13,280,211,69,2,-8.22,18.11,-1.16
16,Sun,December 21,8:30PM ET,boxscore,L,,11-4,,Seattle Seahawks,6,35,17,216,187,29,1,23,596,329,267,,-15.05,-28.01,13.23
17,Sun,December 28,4:25PM ET,boxscore,L,,11-5,@,San Francisco 49ers,17,20,26,397,299,98,3,18,395,189,206,,9.91,-9.81,-5.10
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,January 3,4:20PM ET,boxscore,L,,11-6,@,Carolina Panthers,16,27,8,78,51,27,3,25,386,198,188,3,-19.39,6.33,4.19
