,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 7,4:16PM ET,boxscore,W,,1-0,@,San Francisco 49ers,23,13,18,285,176,109,,13,291,183,108,5,-2.16,8.61,1.37
2,Sun,September 14,4:15PM ET,boxscore,W,,2-0,,Miami Dolphins,31,10,22,445,364,81,,17,236,164,72,,24.83,-1.17,1.89
3,Sun,September 21,1:02PM ET,boxscore,L,,2-1,@,Washington Redskins,17,24,19,313,197,116,2,21,323,187,136,,2.07,-9.11,-2.95
4,Sun,September 28,1:02PM ET,boxscore,L,,2-2,@,New York Jets,35,56,33,468,426,42,7,23,373,284,89,1,-2.13,-19.06,-0.09
5,Sun,October 5,4:16PM ET,boxscore,W,,3-2,,Buffalo Bills,41,17,28,373,250,123,,13,287,203,84,4,16.01,7.77,-0.51
6,Sun,October 12,4:15PM ET,boxscore,W,OT,4-2,,Dallas Cowboys,30,24,14,276,226,50,3,15,374,301,73,1,-1.55,-1.25,8.86
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 26,1:04PM ET,boxscore,L,,4-3,@,Carolina Panthers,23,27,25,425,375,50,2,22,351,238,113,1,6.33,-11.02,-2.78
9,Sun,November 2,1:00PM ET,boxscore,W,,5-3,@,St. Louis Rams,34,13,24,510,334,176,,13,231,170,61,3,13.22,16.67,-6.68
10,Mon,November 10,8:40PM ET,boxscore,W,,6-3,,San Francisco 49ers,29,24,21,374,328,46,,19,336,217,119,3,9.38,3.94,-12.28
11,Sun,November 16,4:06PM ET,boxscore,W,,7-3,@,Seattle Seahawks,26,20,24,458,382,76,3,18,196,153,43,4,4.81,3.68,-2.62
12,Sun,November 23,4:16PM ET,boxscore,L,,7-4,,New York Giants,29,37,27,371,348,23,2,18,321,234,87,,9.38,-9.73,-15.36
13,Thu,November 27,8:16PM ET,boxscore,L,,7-5,@,Philadelphia Eagles,20,48,12,260,235,25,4,32,437,252,185,1,-11.60,-22.15,6.29
14,Sun,December 7,4:15PM ET,boxscore,W,,8-5,,St. Louis Rams,34,10,18,335,272,63,1,17,308,223,85,3,4.63,22.05,-0.02
15,Sun,December 14,4:05PM ET,boxscore,L,,8-6,,Minnesota Vikings,14,35,16,316,273,43,2,20,396,157,239,1,-8.86,-14.93,7.49
16,Sun,December 21,1:02PM ET,boxscore,L,,8-7,@,New England Patriots,7,47,8,186,142,44,2,27,514,331,183,,-17.28,-22.27,1.09
17,Sun,December 28,4:15PM ET,boxscore,W,,9-7,,Seattle Seahawks,34,21,19,457,346,111,2,24,330,243,87,3,12.13,-0.24,0.67
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,January 3,4:36PM ET,boxscore,W,,10-7,,Atlanta Falcons,30,24,15,357,271,86,1,20,250,190,60,3,4.78,7.65,-5.59
Division,Sat,January 10,8:16PM ET,boxscore,W,,11-7,@,Carolina Panthers,33,13,21,360,215,145,1,16,269,194,75,6,5.47,22.00,-8.18
Conf. Champ.,Sun,January 18,4:06PM ET,boxscore,W,,12-7,,Philadelphia Eagles,32,25,21,369,267,102,1,22,454,357,97,3,18.33,-13.10,2.55
SuperBowl,Sun,February 1,6:31PM ET,boxscore,L,,12-8,N,Pittsburgh Steelers,23,27,23,407,374,33,2,20,292,234,58,1,0.92,-4.62,-1.91
