Year,Week,Day,Date,Time,Scoretype,WL,Team,Opp,TmScore,OppScore,off_1stD,off_TotYd,off_ PassY,off_RushY,off_TO,def_1stD,def_TotYd,def_PassY,def_RushY,def_TO
2010,12,Mon,29-Nov,8:40PM ET,boxscore,L,Arizona Cardinals,San Francisco 49ers,6,27,8,203,190,13,2,26,386,125,261,1
2010,13,Sun,5-Dec,4:15PM ET,boxscore,L,Arizona Cardinals,St. Louis Rams,6,19,14,224,119,105,2,18,288,169,119,1
2010,14,Sun,12-Dec,4:15PM ET,boxscore,W,Arizona Cardinals,Denver Broncos,43,13,21,357,146,211,1,20,288,156,132,6
2010,15,Sun,19-Dec,1:04PM ET,boxscore,L,Arizona Cardinals,Carolina Panthers,12,19,11,218,175,43,2,16,303,126,177,1
2010,16,Sat,25-Dec,7:30PM ET,boxscore,W,Arizona Cardinals,Dallas Cowboys,27,26,10,271,178,93,,24,382,199,183,3
2010,17,Sun,2-Jan,4:15PM ET,boxscore,L,Arizona Cardinals,San Francisco 49ers,7,38,19,279,201,78,2,16,362,262,100,
2011,1,Sun,11-Sep,4:15PM ET,boxscore,W,Arizona Cardinals,Carolina Panthers,28,21,15,394,295,99,1,26,477,403,74,1
2011,2,Sun,18-Sep,1:03PM ET,boxscore,L,Arizona Cardinals,Washington Redskins,21,22,16,324,231,93,2,28,455,283,172,2
2011,3,Sun,25-Sep,4:15PM ET,boxscore,L,Arizona Cardinals,Seattle Seahawks,10,13,20,324,234,90,2,16,261,139,122,1
2011,4,Sun,2-Oct,4:05PM ET,boxscore,L,Arizona Cardinals,New York Giants,27,31,22,368,212,156,2,24,360,306,54,2
2011,5,Sun,9-Oct,1:05PM ET,boxscore,L,Arizona Cardinals,Minnesota Vikings,10,34,18,291,214,77,4,20,332,160,172,1
2011,7,Sun,23-Oct,4:05PM ET,boxscore,L,Arizona Cardinals,Pittsburgh Steelers,20,32,23,330,257,73,1,26,445,354,91,
2011,8,Sun,30-Oct,1:02PM ET,boxscore,L,Arizona Cardinals,Baltimore Ravens,27,30,17,207,98,109,1,30,405,298,107,2
2011,9,Sun,6-Nov,4:15PM ET,boxscore,W,Arizona Cardinals,St. Louis Rams,19,13,16,262,192,70,,23,383,233,150,1
2011,10,Sun,13-Nov,1:02PM ET,boxscore,W,Arizona Cardinals,Philadelphia Eagles,21,17,23,370,282,88,2,15,289,123,166,2
2011,11,Sun,20-Nov,4:05PM ET,boxscore,L,Arizona Cardinals,San Francisco 49ers,7,23,11,229,149,80,5,25,431,267,164,1
2011,12,Sun,27-Nov,1:00PM ET,boxscore,W,Arizona Cardinals,St. Louis Rams,23,20,16,374,106,268,3,12,272,186,86,2
2011,13,Sun,4-Dec,4:15PM ET,boxscore,W,Arizona Cardinals,Dallas Cowboys,19,13,16,327,224,103,,20,336,261,75,
2011,14,Sun,11-Dec,4:05PM ET,boxscore,W,Arizona Cardinals,San Francisco 49ers,21,19,12,325,270,55,3,12,233,143,90,
2011,15,Sun,18-Dec,4:15PM ET,boxscore,W,Arizona Cardinals,Cleveland Browns,20,17,24,363,289,74,1,16,333,213,120,1
2011,16,Sat,24-Dec,1:02PM ET,boxscore,L,Arizona Cardinals,Cincinnati Bengals,16,23,17,316,257,59,3,21,301,136,165,2
2011,17,Sun,1-Jan,4:15PM ET,boxscore,W,Arizona Cardinals,Seattle Seahawks,23,20,20,388,257,131,2,19,369,191,178,1
2012,1,Sun,9-Sep,4:25PM ET,boxscore,W,Arizona Cardinals,Seattle Seahawks,20,16,18,253,210,43,2,18,254,139,115,2
2012,2,Sun,16-Sep,1:02PM ET,boxscore,W,Arizona Cardinals,New England Patriots,20,18,16,242,140,102,2,25,387,297,90,1
2012,3,Sun,23-Sep,4:05PM ET,boxscore,W,Arizona Cardinals,Philadelphia Eagles,27,6,16,292,193,99,,16,307,194,113,3
2012,4,Sun,30-Sep,4:05PM ET,boxscore,W,Arizona Cardinals,Miami Dolphins,24,21,19,297,269,28,2,21,480,394,86,4
2012,5,Thu,4-Oct,8:20PM ET,boxscore,L,Arizona Cardinals,St. Louis Rams,3,17,20,282,237,45,1,12,242,131,111,1
2012,6,Sun,14-Oct,4:05PM ET,boxscore,L,Arizona Cardinals,Buffalo Bills,16,19,20,332,150,182,2,19,306,141,165,2
2012,7,Sun,21-Oct,1:05PM ET,boxscore,L,Arizona Cardinals,Minnesota Vikings,14,21,21,356,230,126,2,12,209,43,166,2
2012,8,Mon,29-Oct,8:40PM ET,boxscore,L,Arizona Cardinals,San Francisco 49ers,3,24,16,265,258,7,1,15,317,204,113,
2012,9,Sun,4-Nov,1:02PM ET,boxscore,L,Arizona Cardinals,Green Bay Packers,17,31,16,340,286,54,2,20,384,208,176,1
2012,11,Sun,18-Nov,1:03PM ET,boxscore,L,Arizona Cardinals,Atlanta Falcons,19,23,7,178,41,137,1,20,354,296,58,6
2012,12,Sun,25-Nov,4:25PM ET,boxscore,L,Arizona Cardinals,St. Louis Rams,17,31,24,375,301,74,4,15,367,194,173,1
2012,13,Sun,2-Dec,1:03PM ET,boxscore,L,Arizona Cardinals,New York Jets,6,7,5,137,56,81,1,20,289,112,177,4
2012,14,Sun,9-Dec,4:26PM ET,boxscore,L,Arizona Cardinals,Seattle Seahawks,0,58,10,154,111,43,8,22,493,209,284,1
2012,15,Sun,16-Dec,4:05PM ET,boxscore,W,Arizona Cardinals,Detroit Lions,38,10,12,196,97,99,1,18,312,228,84,4
2012,16,Sun,23-Dec,4:25PM ET,boxscore,L,Arizona Cardinals,Chicago Bears,13,28,15,248,219,29,3,15,297,145,152,1
2012,17,Sun,30-Dec,4:25PM ET,boxscore,L,Arizona Cardinals,San Francisco 49ers,13,27,11,262,207,55,2,20,407,278,129,
2013,1,Sun,8-Sep,4:23PM ET,boxscore,L,Arizona Cardinals,St. Louis Rams,24,27,25,390,304,86,2,20,366,299,67,2
2013,2,Sun,15-Sep,4:05PM ET,boxscore,W,Arizona Cardinals,Detroit Lions,25,21,24,348,261,87,1,16,322,273,49,1
2013,3,Sun,22-Sep,1:03PM ET,boxscore,L,Arizona Cardinals,New Orleans Saints,7,31,16,247,161,86,2,27,423,319,104,1
2013,4,Sun,29-Sep,1:03PM ET,boxscore,W,Arizona Cardinals,Tampa Bay Buccaneers,13,10,17,296,240,56,3,20,253,173,80,3
2013,5,Sun,6-Oct,4:05PM ET,boxscore,W,Arizona Cardinals,Carolina Panthers,22,6,19,250,160,90,3,21,353,258,95,4
2013,6,Sun,13-Oct,4:25PM ET,boxscore,L,Arizona Cardinals,San Francisco 49ers,20,32,16,403,294,109,4,20,387,238,149,2
2013,7,Thu,17-Oct,8:25PM ET,boxscore,L,Arizona Cardinals,Seattle Seahawks,22,34,22,234,204,30,2,21,344,209,135,2
2013,8,Sun,27-Oct,4:25PM ET,boxscore,W,Arizona Cardinals,Atlanta Falcons,27,13,17,348,147,201,1,20,292,265,27,4
2013,10,Sun,10-Nov,4:25PM ET,boxscore,W,Arizona Cardinals,Houston Texans,27,24,19,332,235,97,3,17,235,159,76,1
2013,11,Sun,17-Nov,1:04PM ET,boxscore,W,Arizona Cardinals,Jacksonville Jaguars,27,14,19,416,402,14,,14,274,242,32,2
2013,12,Sun,24-Nov,4:05PM ET,boxscore,W,Arizona Cardinals,Indianapolis Colts,40,11,27,410,290,120,,15,239,159,80,1
2013,13,Sun,1-Dec,1:02PM ET,boxscore,L,Arizona Cardinals,Philadelphia Eagles,21,24,24,350,260,90,3,23,307,202,105,
2013,14,Sun,8-Dec,4:25PM ET,boxscore,W,Arizona Cardinals,St. Louis Rams,30,10,25,369,262,107,1,14,257,157,100,2
2013,15,Sun,15-Dec,4:27PM ET,boxscore,W,Arizona Cardinals,Tennessee Titans,37,34,24,360,215,145,,32,460,394,66,3
2013,16,Sun,22-Dec,4:06PM ET,boxscore,W,Arizona Cardinals,Seattle Seahawks,17,10,16,307,168,139,4,10,192,89,103,2
2013,17,Sun,29-Dec,4:25PM ET,boxscore,L,Arizona Cardinals,San Francisco 49ers,20,23,19,482,399,83,2,19,375,292,83,
