,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,7-Sep,4:16PM ET,boxscore,L,,0-1,,Dallas Cowboys,10,28,11,205,114,91,,30,487,320,167,1,0.66,-25.03,2.38
2,Sun,14-Sep,8:23PM ET,boxscore,L,,0-2,,Pittsburgh Steelers,6,10,17,208,155,53,2,14,281,164,117,,-9.98,0.53,3.71
3,Sun,21-Sep,4:16PM ET,boxscore,L,,0-3,@,Baltimore Ravens,10,28,11,169,99,70,3,21,273,122,151,2,-24.26,1.49,-0.11
4,Sun,28-Sep,1:02PM ET,boxscore,W,,3-Jan,@,Cincinnati Bengals,20,12,19,261,127,134,2,14,211,142,69,5,-2.43,14.57,-1.13
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Mon,13-Oct,8:41PM ET,boxscore,W,,3-Feb,,New York Giants,35,14,20,454,310,144,,23,373,192,181,3,22.07,2.76,-4.84
7,Sun,19-Oct,4:16PM ET,boxscore,L,,4-Feb,@,Washington Redskins,11,14,16,236,134,102,,17,351,158,193,1,-9.31,-0.2,5.94
8,Sun,26-Oct,4:05PM ET,boxscore,W,,4-Mar,@,Jacksonville Jaguars,23,17,15,327,236,91,,23,380,267,113,1,7.2,-8.94,6.56
9,Sun,2-Nov,1:02PM ET,boxscore,L,,5-Mar,,Baltimore Ravens,27,37,14,274,210,64,2,21,429,236,193,,-15.27,-9.69,13.06
10,Thu,6-Nov,8:15PM ET,boxscore,L,,6-Mar,,Denver Broncos,30,34,20,399,239,160,1,26,564,441,123,1,10.16,-27.02,9.69
11,Mon,17-Nov,8:40PM ET,boxscore,W,,6-Apr,@,Buffalo Bills,29,27,18,337,176,161,,19,334,148,186,4,1.47,5.88,-5.45
12,Sun,23-Nov,1:03PM ET,boxscore,L,,7-Apr,,Houston Texans,6,16,15,240,145,95,5,19,383,271,112,2,-19.59,1.3,7.19
13,Sun,30-Nov,1:02PM ET,boxscore,L,,8-Apr,,Indianapolis Colts,6,10,13,193,92,101,2,14,215,125,90,3,-13.73,9.43,0.08
14,Sun,7-Dec,1:04PM ET,boxscore,L,,9-Apr,@,Tennessee Titans,9,28,12,178,143,35,1,21,390,155,235,3,-16.97,-1.46,2.6
15,Mon,15-Dec,8:40PM ET,boxscore,L,,10-Apr,@,Philadelphia Eagles,10,30,11,196,139,57,2,21,418,284,134,3,-22.57,-0.41,-0.14
16,Sun,21-Dec,1:03PM ET,boxscore,L,,11-Apr,,Cincinnati Bengals,0,14,13,182,41,141,4,12,246,55,191,1,-28.2,3.44,7.68
17,Sun,28-Dec,1:02PM ET,boxscore,L,,12-Apr,@,Pittsburgh Steelers,0,31,8,126,20,106,2,20,369,193,176,1,-28.13,-8.48,4.06
