,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,7-Sep,1:02PM ET,boxscore,W,,Jan-00,,Tampa Bay Buccaneers,24,20,16,438,337,101,1,18,352,206,146,1,3.21,4.35,-3.58
2,Sun,14-Sep,1:03PM ET,boxscore,L,,1-Jan,@,Washington Redskins,24,29,16,250,195,55,3,25,455,306,149,1,-4.77,-18.34,15.76
3,Sun,21-Sep,4:06PM ET,boxscore,L,,2-Jan,@,Denver Broncos,32,34,27,502,414,88,1,20,369,264,105,2,14,-10.68,-7.35
4,Sun,28-Sep,1:03PM ET,boxscore,W,,2-Feb,,San Francisco 49ers,31,17,24,467,363,104,2,20,312,221,91,3,17.63,1.88,-8.01
5,Mon,6-Oct,8:40PM ET,boxscore,L,,3-Feb,,Minnesota Vikings,27,30,17,375,320,55,4,16,270,226,44,,-6.17,1.12,4.87
6,Sun,12-Oct,1:02PM ET,boxscore,W,,3-Mar,,Oakland Raiders,34,3,23,441,319,122,,12,226,141,85,2,22.53,16.91,-3.13
7,Sun,19-Oct,1:04PM ET,boxscore,L,,4-Mar,@,Carolina Panthers,7,30,17,343,228,115,2,19,336,193,143,,-6.69,-9.3,-3.8
8,Sun,26-Oct,1:06PM ET,boxscore,W,,4-Apr,,San Diego Chargers,37,32,28,409,339,70,,22,451,341,110,2,28.32,-16.57,-7.61
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,9-Nov,1:03PM ET,boxscore,L,,5-Apr,@,Atlanta Falcons,20,34,25,521,416,105,3,18,361,248,113,,-0.96,-11.12,0.5
11,Sun,16-Nov,1:00PM ET,boxscore,W,,5-May,@,Kansas City Chiefs,30,20,22,369,266,103,1,21,330,206,124,1,12.12,-8.06,6.14
12,Mon,24-Nov,8:40PM ET,boxscore,W,,5-Jun,,Green Bay Packers,51,29,21,416,318,98,1,22,343,234,109,3,20.95,-3.15,1.94
13,Sun,30-Nov,1:02PM ET,boxscore,L,,6-Jun,@,Tampa Bay Buccaneers,20,23,18,332,288,44,3,11,254,105,149,1,-10.23,8.41,-1.87
14,Sun,7-Dec,1:02PM ET,boxscore,W,,6-Jul,,Atlanta Falcons,29,25,24,414,230,184,,22,414,315,99,1,18.63,-12.65,-0.66
15,Thu,11-Dec,8:14PM ET,boxscore,L,OT,7-Jul,@,Chicago Bears,24,27,22,345,226,119,2,16,226,171,55,3,-2.32,13.17,-13.91
16,Sun,21-Dec,1:03PM ET,boxscore,W,,7-Aug,@,Detroit Lions,42,7,32,532,351,181,1,15,255,126,129,2,36.48,-0.2,0.02
17,Sun,28-Dec,1:03PM ET,boxscore,L,,8-Aug,,Carolina Panthers,31,33,22,417,367,50,2,23,478,244,234,,16.77,-20.19,-0.85
