,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,7-Sep,4:16PM ET,boxscore,L,,0-1,,Arizona Cardinals,13,23,13,291,183,108,5,18,285,176,109,,-8.61,2.16,-1.37
2,Sun,14-Sep,4:06PM ET,boxscore,W,OT,1-Jan,@,Seattle Seahawks,33,30,20,365,272,93,1,22,351,182,169,3,4.17,9.7,-11.81
3,Sun,21-Sep,4:06PM ET,boxscore,W,,1-Feb,,Detroit Lions,31,13,25,370,188,182,,14,240,124,116,2,16.16,5.96,-7.56
4,Sun,28-Sep,1:03PM ET,boxscore,L,,2-Feb,@,New Orleans Saints,17,31,20,312,221,91,3,24,467,363,104,2,-1.88,-17.63,8.01
5,Sun,5-Oct,4:15PM ET,boxscore,L,,3-Feb,,New England Patriots,21,30,12,199,122,77,3,25,377,233,144,2,-6.65,-6.43,3.18
6,Sun,12-Oct,4:15PM ET,boxscore,L,,4-Feb,,Philadelphia Eagles,26,40,14,306,175,131,3,21,383,280,103,1,-17.96,-12.43,14.05
7,Sun,19-Oct,1:02PM ET,boxscore,L,,5-Feb,@,New York Giants,17,29,13,253,218,35,3,17,273,161,112,,-17.53,0.63,3.87
8,Sun,26-Oct,4:15PM ET,boxscore,L,,6-Feb,,Seattle Seahawks,13,34,21,388,264,124,2,14,261,222,39,,-12.85,-5.45,1.15
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Mon,10-Nov,8:40PM ET,boxscore,L,,7-Feb,@,Arizona Cardinals,24,29,19,336,217,119,3,21,374,328,46,,-3.94,-9.38,12.28
11,Sun,16-Nov,4:05PM ET,boxscore,W,,7-Mar,,St. Louis Rams,35,16,19,334,199,135,2,22,406,280,126,3,7.02,7.07,3.64
12,Sun,23-Nov,1:03PM ET,boxscore,L,,8-Mar,@,Dallas Cowboys,22,35,16,304,278,26,2,16,408,334,74,1,-0.36,-5.12,-7.55
13,Sun,30-Nov,1:01PM ET,boxscore,W,,8-Apr,@,Buffalo Bills,10,3,12,195,133,62,1,18,350,194,156,1,-7.87,9.48,7.56
14,Sun,7-Dec,4:05PM ET,boxscore,W,,8-May,,New York Jets,24,14,25,375,275,100,2,10,182,123,59,1,7.57,4.86,0.67
15,Sun,14-Dec,1:03PM ET,boxscore,L,,9-May,@,Miami Dolphins,9,14,24,318,206,112,,11,248,150,98,,0.75,-2.46,-2.03
16,Sun,21-Dec,1:00PM ET,boxscore,W,,9-Jun,@,St. Louis Rams,17,16,15,273,190,83,4,21,343,214,129,1,-7.26,5.17,6.14
17,Sun,28-Dec,4:15PM ET,boxscore,W,,9-Jul,,Washington Redskins,27,24,19,359,238,121,1,19,268,143,125,1,7.73,-3.94,-2.42
