,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,10-Sep,4:25PM ET,boxscore,L,,0-1,@,Green Bay Packers,9,17,12,225,135,90,1,26,370,286,84,1,-10.07,-2.15,2.55
2,Sun,17-Sep,4:25PM ET,boxscore,W,,1-Jan,,San Francisco 49ers,12,9,21,312,181,131,,11,248,89,159,1,-0.45,10.07,-7.08
3,Sun,24-Sep,4:05PM ET,boxscore,L,,2-Jan,@,Tennessee Titans,27,33,24,433,364,69,,21,420,225,195,,8.74,-13.49,-3.82
4,Sun,1-Oct,8:30PM ET,boxscore,W,,2-Feb,,Indianapolis Colts,46,18,22,477,283,194,2,16,237,139,98,2,23.83,13.36,-10.13
5,Sun,8-Oct,4:05PM ET,boxscore,W,,2-Mar,@,Los Angeles Rams,16,10,15,241,179,62,2,21,375,275,100,5,-14.79,10.81,9.52
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,22-Oct,4:25PM ET,boxscore,W,,2-Apr,@,New York Giants,24,7,26,425,321,104,1,14,177,131,46,1,3.85,15.66,-0.8
8,Sun,29-Oct,4:05PM ET,boxscore,W,,2-May,,Houston Texans,41,38,21,479,446,33,1,25,509,367,142,3,15.52,-11.2,-1.38
9,Sun,5-Nov,4:05PM ET,boxscore,L,,3-May,,Washington Redskins,14,17,22,437,289,148,2,16,244,193,51,1,-2.51,8.18,-9.38
10,Thu,9-Nov,8:25PM ET,boxscore,W,,3-Jun,@,Arizona Cardinals,22,16,14,287,212,75,,24,290,256,34,1,-2.92,4.03,8
11,Mon,20-Nov,8:30PM ET,boxscore,L,,4-Jun,,Atlanta Falcons,31,34,26,360,224,136,2,22,279,190,89,1,3.48,-13.29,6.1
12,Sun,26-Nov,4:05PM ET,boxscore,W,,4-Jul,@,San Francisco 49ers,24,13,20,318,228,90,1,16,280,196,84,1,5.7,12.97,-1.79
13,Sun,3-Dec,8:30PM ET,boxscore,W,,4-Aug,,Philadelphia Eagles,24,10,20,310,209,101,,25,425,327,98,2,12.23,-3.98,1.93
14,Sun,10-Dec,4:25PM ET,boxscore,L,,5-Aug,@,Jacksonville Jaguars,24,30,17,401,260,141,3,20,424,268,156,1,3.46,-9.61,-2.29
15,Sun,17-Dec,4:05PM ET,boxscore,L,,6-Aug,,Los Angeles Rams,7,42,11,149,71,78,2,19,352,108,244,1,-20.02,-4.78,-6.47
16,Sun,24-Dec,4:25PM ET,boxscore,W,,6-Sep,@,Dallas Cowboys,21,12,15,136,60,76,,21,282,154,128,3,-5.32,7.97,6.11
17,Sun,31-Dec,4:25PM ET,boxscore,L,,7-Sep,,Arizona Cardinals,24,26,13,296,195,101,,19,259,143,116,1,-4.47,0.61,-0.55
