,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,14-Sep,10:16PM ET,boxscore,W,,Jan-00,@,Oakland Raiders,24,20,19,317,240,77,2,19,366,218,148,3,1.85,-2.61,3.91
2,Sun,20-Sep,4:15PM ET,boxscore,L,,1-Jan,,Baltimore Ravens,26,31,20,474,421,53,2,22,311,181,130,1,5.62,-7.7,-3.58
3,Sun,27-Sep,4:15PM ET,boxscore,W,,1-Feb,,Miami Dolphins,23,13,19,355,286,69,1,19,289,140,149,2,2.21,9.23,-1.96
4,Sun,4-Oct,8:30PM ET,boxscore,L,,2-Feb,@,Pittsburgh Steelers,28,38,17,251,235,16,1,32,497,320,177,1,4.75,-31.25,1.44
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Mon,19-Oct,8:40PM ET,boxscore,L,,3-Feb,,Denver Broncos,23,34,20,311,238,73,1,19,328,227,101,,-0.47,-10.64,1.35
7,Sun,25-Oct,1:00PM ET,boxscore,W,,3-Mar,@,Kansas City Chiefs,37,7,17,403,268,135,,10,203,82,121,3,5.81,26.64,-5.86
8,Sun,1-Nov,4:05PM ET,boxscore,W,,3-Apr,,Oakland Raiders,24,16,20,346,246,100,2,13,180,81,99,1,9.41,10.24,-11.08
9,Sun,8-Nov,4:15PM ET,boxscore,W,,3-May,@,New York Giants,21,20,18,226,192,34,2,19,304,188,116,1,-0.4,3.33,0.38
10,Sun,15-Nov,4:15PM ET,boxscore,W,,3-Jun,,Philadelphia Eagles,31,23,22,331,212,119,,26,462,433,29,1,17.51,-13.86,5.02
11,Sun,22-Nov,4:15PM ET,boxscore,W,,3-Jul,@,Denver Broncos,32,3,21,348,145,203,,14,271,156,115,3,13.09,18.75,-14.6
12,Sun,29-Nov,4:05PM ET,boxscore,W,,3-Aug,,Kansas City Chiefs,43,14,26,426,332,94,1,16,284,170,114,4,15.4,16.27,0.02
13,Sun,6-Dec,4:05PM ET,boxscore,W,,3-Sep,@,Cleveland Browns,30,23,21,477,386,91,,24,372,257,115,1,23.1,-11.89,-3.75
14,Sun,13-Dec,4:15PM ET,boxscore,W,,3-Oct,@,Dallas Cowboys,20,17,21,341,268,73,1,22,347,239,108,,12.26,-7.45,0.89
15,Sun,20-Dec,4:05PM ET,boxscore,W,,3-Nov,,Cincinnati Bengals,27,24,20,366,296,70,2,19,407,293,114,1,9.87,-7.36,1.2
16,Fri,25-Dec,7:34PM ET,boxscore,W,,3-Dec,@,Tennessee Titans,42,17,30,425,259,166,1,17,270,88,182,3,30.07,1.68,-4.63
17,Sun,3-Jan,4:15PM ET,boxscore,W,,13-3,,Washington Redskins,23,20,19,364,314,50,1,18,341,275,66,,7.94,-4.86,4.48
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sun,17-Jan,4:40PM ET,boxscore,L,,13-4,,New York Jets,14,17,18,344,283,61,2,14,262,93,169,1,-3.86,5.03,-9.26
